what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1433864109556
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1433864112416
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433864116176
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433864190729
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1433864192259
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433864203925
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433864253140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433864254510
error,log,,,"SOPC design not set.",1433864254550
error,log,,,"CPU module not set.",1433864254560
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433864254580
error,log,,,"CPU architecture type not set. ",1433864254610
error,log,,,"CPU master group not set.",1433864254630
error,log,,,"SOPC design not set.",1433864254650
error,log,,,"CPU module not set.",1433864254660
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433864254660
error,log,,,"CPU architecture type not set. ",1433864254670
error,log,,,"CPU master group not set.",1433864254670
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433864258122
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433864261612
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433864262333
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433864264315
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1433864288766
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433864331810
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1433864351550
