what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU architecture type not set. ",1431437727641
error,log,,,"CPU master group not set.",1431437727651
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1431437778783
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1431437778823
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1431437832109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1431437833016
error,log,,,"SOPC design not set.",1431437833119
error,log,,,"CPU module not set.",1431437833126
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437833133
error,log,,,"CPU architecture type not set. ",1431437833156
error,log,,,"CPU master group not set.",1431437833176
error,log,,,"SOPC design not set.",1431437833216
error,log,,,"CPU module not set.",1431437833226
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437833226
error,log,,,"CPU architecture type not set. ",1431437833236
error,log,,,"CPU master group not set.",1431437833236
opened,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1431437834408
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1431437834712
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1431437834723
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1431437858489
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1431437949460
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431437973441
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1431437979061
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1431438031843
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1431438033003
